LocationID,zone,borough,lat,lon,longitude,latitude
157,Maspeth,Queens,203062.4826545,1011322.0566218888,-73.90233075376986,40.72399485039648
158,Meatpacking/West Village West,Manhattan,207069.85524818485,981760.163009758,-74.00898419902498,40.7350351831651
159,Melrose South,Bronx,237403.26520762575,1008372.3431942796,-73.91284931725946,40.81825981956973
160,Middle Village,Queens,201008.7480716868,1017500.3337736354,-73.88005123769709,40.71833678461975
161,Midtown Center,Manhattan,215447.5272239114,990428.525989642,-73.97769803041939,40.758027981780664
162,Midtown East,Manhattan,214959.58164229896,991908.589567896,-73.97235615813489,40.756687537617346
163,Midtown North,Manhattan,217776.88244811285,990463.7954353758,-73.97756856896713,40.7644214387746
164,Midtown South,Manhattan,212002.8930356689,988362.833435725,-73.98515644835915,40.74857453693654
165,Midwood,Brooklyn,165498.6289448304,996235.9681391948,-73.95682439069601,40.620923828653744
166,Morningside Heights,Manhattan,234186.3268721064,994834.7872526807,-73.96176369363279,40.80945681703888
167,Morrisania/Melrose,Bronx,240777.4504855145,1011274.10312161,-73.90235207986518,40.82751259617852
168,Mott Haven/Port Morris,Bronx,233426.31053268496,1007276.655262574,-73.91682152685682,40.80734711638027
169,Mount Hope,Bronx,248626.50066211305,1010498.8966177456,-73.90512246226346,40.849058285066626
170,Murray Hill,Manhattan,211701.31597992923,990209.600058688,-73.97849158432054,40.74774573203895
171,Murray Hill-Queens,Queens,219265.3323757372,1037005.2460888692,-73.80954532050765,40.76835161995764
172,New Dorp/Midland Beach,Staten Island,147604.72249633484,955074.2840242308,-74.10501884907058,40.57176876885639
173,North Corona,Queens,213491.23352672328,1022197.0870768116,-73.86303757637424,40.75257918636062
174,Norwood,Bronx,258865.7027677805,1017705.6853706642,-73.87902219325525,40.87713740796544
175,Oakland Gardens,Queens,209946.98083071172,1052245.0396521215,-73.75462177515529,40.74267113545859
176,Oakwood,Staten Island,144049.9002898066,950189.7218172458,-74.12258304710812,40.56199406259295
177,Ocean Hill,Brooklyn,185807.8687629447,1008206.4863896964,-73.91363232497895,40.676643979648
178,Ocean Parkway South,Brooklyn,164182.1642108292,992488.3342148868,-73.97032564615044,40.617314684335554
179,Old Astoria,Queens,220388.74304930717,1004100.553267476,-73.92833298669993,40.77157021384615
180,Ozone Park,Queens,185450.93130147812,1026677.5797665772,-73.84704288454616,40.675595010201214
181,Park Slope,Brooklyn,183512.2660660261,989405.7462567874,-73.98141430754676,40.670373980768005
182,Parkchester,Bronx,244523.60478571683,1023546.1195878816,-73.85798693850145,40.837748625040106
183,Pelham Bay,Bronx,248698.6851038097,1030844.6058161812,-73.83158183808297,40.849172484756885
184,Pelham Bay Park,Bronx,255671.9999736178,1037392.699343806,-73.80785826289252,40.86827511264962
185,Pelham Parkway,Bronx,250593.75299100287,1024530.2532265898,-73.85439389980314,40.85440494014381
186,Penn Station/Madison Sq West,Manhattan,211974.4462185665,986345.3986004688,-73.99243754419264,40.74849716576957
187,Port Richmond,Staten Island,168165.56998955717,945169.9571905944,-74.14078866147455,40.62816593004213
188,Prospect-Lefferts Gardens,Brooklyn,179279.2193722589,998832.3808813528,-73.94744186388097,40.65874469984108
189,Prospect Heights,Brooklyn,186158.9037662549,993240.6149544868,-73.96758665136912,40.67763534192634
190,Prospect Park,Brooklyn,180324.55048010784,992874.5690428184,-73.9689138001589,40.661621710598034
191,Queens Village,Queens,200041.3338398747,1055901.629081539,-73.74153154913715,40.71545380257635
192,Queensboro Hill,Queens,210299.4932891908,1035449.7277915126,-73.81522924223742,40.74375187633024
193,Queensbridge/Ravenswood,Queens,216284.7338804592,1000318.472670505,-73.941997345654,40.76031345682181
